"runtime","fps","found","explored","disk_usage","fixed_hash_load_factor","hash_load_factor","cache_load_factor","collisions"
23045,0,36875808,8185000010,10.78,14.4439,14.4439,15.0000,5498902632
23105,240856,36916118,8205000010,10.78,14.4547,14.4547,15.0000,5512098389
23165,1921122,36944705,8218358919,10.78,14.4650,14.4650,8.3589,5520735221
23225,1870089,36991799,8238756727,10.78,14.4797,14.4797,8.7567,5534180722
23285,0,37049353,8265000010,10.78,14.4958,14.4958,15.0000,5551567289
23345,279325,37103914,8285000010,10.78,14.5125,14.5125,15.0000,5564631300
23405,1936882,37139673,8298777185,10.78,14.5230,14.5230,8.7772,5573427740
23465,0,37171424,8315000010,10.78,14.5325,14.5325,15.0000,5584287166
23525,0,37210038,8335000010,10.78,14.5437,14.5437,15.0000,5597330882
23585,0,37251365,8355000010,10.78,14.5562,14.5562,15.0000,5610428116
23645,1735265,37308687,8381537048,10.78,14.5762,14.5762,11.5370,5627782247
23705,1896090,37345648,8398183190,10.78,14.5878,14.5878,8.1832,5638709377
23765,0,37383021,8415000010,10.78,14.5992,14.5992,15.0000,5649869896
23825,0,37418623,8435000010,10.78,14.6093,14.6093,15.0000,5663053835
23885,0,37452670,8455000010,10.78,14.6188,14.6188,15.0000,5676272183
23945,0,37494741,8475000010,10.78,14.6310,14.6310,15.0000,5689350956
24005,1910183,37578527,8498689470,10.78,14.6518,14.6518,8.6895,5704728539
24065,1912936,37636280,8517974220,10.78,14.6648,14.6648,7.9742,5717350662
24125,0,37704471,8545000010,10.78,14.6806,14.6806,15.0000,5735454849
24185,0,37742754,8565000010,10.78,14.6899,14.6899,15.0000,5748862166
24245,1728898,37771835,8580441243,10.78,14.6955,14.6955,10.4412,5759022244
24305,1815057,37807961,8598646882,10.78,14.7045,14.7045,8.6469,5771079855
24365,0,37841092,8615000010,10.78,14.7126,14.7126,15.0000,5782011220
24425,0,37882006,8635000010,10.78,14.7249,14.7249,15.0000,5795065451
24485,0,37930993,8655000010,10.78,14.7401,14.7401,15.0000,5808085961
24545,0,37975221,8675000010,10.78,14.7544,14.7544,15.0000,5821223004
24605,1634904,38001655,8692563816,10.78,14.7630,14.7630,12.5638,5832743843
24665,0,38046157,8715000010,10.78,14.7737,14.7737,15.0000,5847478435
24725,0,38074715,8735000010,10.78,14.7824,14.7824,15.0000,5860571483
24785,556681,38109677,8755000010,10.78,14.7921,14.7921,15.0000,5873641780
24845,143795,38152402,8775000010,10.78,14.8045,14.8045,15.0000,5886658022
24905,0,38179184,8795000010,10.78,14.8118,14.8118,15.0000,5899833374
24965,0,38205069,8815000010,10.78,14.8186,14.8186,15.0000,5912854041
25025,0,38237110,8835000010,10.78,14.8295,14.8295,15.0000,5925809929
25085,1604898,38277155,8862980451,10.78,14.8409,14.8409,12.9804,5943872383
25145,0,38313466,8885000010,10.78,14.8510,14.8510,15.0000,5958460419
25205,0,38357833,8905000010,10.78,14.8650,14.8650,15.0000,5971578733
25265,0,38390437,8925000010,10.78,14.8740,14.8740,15.0000,5984555960
25327,43182,38421169,8941684119,10.78,14.8824,14.8824,11.6841,5995111608
