"runtime","fps","found","explored","disk_usage","fixed_hash_load_factor","hash_load_factor","cache_load_factor","collisions"
17515,15157,20997394,918624538,10.31,8.8511,8.8511,54.5702,896046223
17575,22181,21016455,920291531,10.31,8.8580,8.8580,55.0911,897824318
17635,13866,21034272,921844521,10.31,8.8643,8.8643,55.5764,899465754
17695,11867,21051961,923574448,10.31,8.8701,8.8701,56.1170,901330570
17755,10777,21071320,925381376,10.31,8.8760,8.8760,56.6817,903270572
17815,10474,21086868,926838471,10.31,8.8808,8.8808,57.1370,904842156
17875,13704,21103129,928268327,10.31,8.8858,8.8858,57.5838,906391657
17935,11685,21115681,929480917,10.31,8.8902,8.8902,57.9628,907701424
17995,0,21122863,930000010,10.31,8.8927,8.8927,58.1250,908236981
18055,0,21122863,930000010,10.31,8.8927,8.8927,58.1250,908236981
18115,0,21122863,930000010,10.31,8.8927,8.8927,58.1250,908236981
18175,0,21122863,930000010,10.31,8.8927,8.8927,58.1250,908236981
18235,0,21122863,930000010,10.31,8.8927,8.8927,58.1250,908236981
18295,0,21122863,930000010,10.31,8.8927,8.8927,58.1250,908236981
18355,0,21122863,930000010,10.31,8.8927,8.8927,58.1250,908236981
18415,0,21122863,930000010,10.31,8.8927,8.8927,58.1250,908236981
18475,37718,21124419,930636713,10.31,8.8930,8.8930,19.5740,908756210
18535,10992,21130720,933255207,10.31,8.8947,8.8947,20.3923,910995949
18595,278816,21153581,940114688,10.31,8.9014,8.9014,22.5358,917047143
18655,242482,21211222,952287253,10.31,8.9166,8.9166,26.3398,928359082
18715,269786,21312307,968326373,10.31,8.9470,8.9470,31.3520,943592853
18775,280422,21382488,976489633,10.31,8.9697,8.9697,33.9030,951294051
18835,222452,21507168,990625330,10.31,9.0118,9.0118,38.3204,965225362
18895,198176,21611315,1003262783,10.31,9.0468,9.0468,42.2696,978092433
18955,123266,21702221,1011858414,10.31,9.0752,9.0752,44.9558,986875869
19015,66613,21759497,1016120439,10.31,9.0945,9.0945,46.2876,991158076
19075,69921,21809627,1019972370,10.31,9.1115,9.1115,47.4914,995034310
19135,30322,21843522,1023110843,10.31,9.1234,9.1234,48.4721,998205908
19195,65538,21875737,1026127871,10.31,9.1329,9.1329,49.4150,1001293219
19255,35789,21900759,1028461086,10.31,9.1407,9.1407,50.1441,1003693200
19315,16491,21925933,1030685775,10.31,9.1491,9.1491,50.8393,1005940050
19375,21214,21948079,1032423554,10.31,9.1572,9.1572,51.3824,1007675730
19435,38249,21969086,1034061615,10.31,9.1651,9.1651,51.8943,1009335699
19495,27955,21995717,1036404175,10.31,9.1745,9.1745,52.6263,1011754706
